date,direction,correspondent,repository,first_line
[Mar? 1783],from,HLTP,NYPL(B),Oh my Dear! why Tuesday is Siddons's Benefit
[Mar 1783],from,HLTP,NYPL(B),my Siddon is anguish and we had an
[pre Apr 1783],to,SBP,NYPL(B),believe, before he could be found
[pre Apr 1783],from,HLTP,NYPL(B),Let the satisfaction of this Treaty on your
5-11 Apr [1783],from,HLTP,NYPL(B),Your Letter to Day, my beloved Miss
[pre 6] Apr [1783],to,SBP,NYPL(B),I have much, very much to write to you already
6 Apr [1783],to,SBP,NYPL(B),thee [alteration] That makes the wonderful
[7 Apr 1783],to,SBP,NYPL(B),If my dearest Burney retains even a little of
[8 Apr 1783],to,SBP,NYPL(B),I write to the dearest of Creatures from
[11 Apr 1783],from,SBP,NYPL(B),I gave my Fanaletta letter yesterday, &
[12 Apr 1783],to,SBP,NYPL(B),I copy began an elogy of Mrs. Thrale
12 Apr [1783],to,SBP,NYPL(B),with CB to [mutilated] Corp
15 Apr [1783],to,SBP,NYPL(B),my soul is to remember me my
[post] 15 Apr [1783],to,SBP,NYPL(B),we are in daily hope of seeing Capt. Phillips
10 Apr [1783],from,HLTP,NYPL(B),I write at Reading it 4 o'clock Sat. Night
20 Apr [1783],to,CB & CAB,NYPL(B),I intended returning to Town on Saturday
25 Apr [1783],from,HLTP,NYPL(B),And have I really been Wretch enough to let
29 Apr [1783],from,HLTP,NYPL(B),I am very anxious to know how poor Mr.
30 Apr [1783],from,HLTP,NYPL(B),I enclose my dearest Friend a Letter with
1 May [1783],from,John Young,NYPL(B),The Editor of the Criticisms on the Bury
3 May [1783],to,SBP,NYPL(B),Mr. Cambridge told me how
3 May-19 June [1783],to,SBP,NYPL(B),At Lady Mary Duncan's the Party
10 May [1783],from,HLTP,NYPL(B),Charming Creatures as you are, & able to make
12 May (M.S. pink) [1783],from,Maria (Allen) Rishton,NYPL(B),Oh my dear Fanny, my heart is almost broke
14 May [1783],from,HLTP,NYPL(B),How charming, cruel Burney write to me, I
14 May [1783],from,HLTP,NYPL(B),The Bishop is gone so you may send his Faults
17 May [1783],from,HLTP,NYPL(B),I have been thinking my loveliest Friend that
18 May [1783],from,HLTP,NYPL(B),Oh my Dearest Creature has taken my letter again
[25 May 1783],to,SBP,NYPL(B),my dearest Burney need not doubt my
25 May [1783],to,SBP,NYPL(B),How kind is my beloved Burney to love &
[27 May 1783],from,Maria (Allen) Rishton,NYPL(B),dear Fanny, your last Letter must have
[29 May 1783],to,SBP,NYPL(B),How kind it is my beloved Burney to love &
[30 May 1783],from,HLTP,NYPL(B),Well now I do believe that my Dear Burney
5 June [1783],from,HLTP,NYPL(B),Well my dearest I am a little better I think
[10 June 1783],to,SBP,NYPL(B),I have written to Lady Frances Burgoyne &
[Jun 1783],to,SBP,NYPL(B),at my coming house last night I found a
[Jun 1783],to,SBP,NYPL(B),I bough eldest Paper to thank my dearest
[c. 18 June 1783],to,SBP,NYPL(B),I dined at Sir Joshua Reynolds,
[post 18 June 1783],to,SBP,NYPL(B),the poor spine, once more restored, -- his
[31 June] - 7 July [1783],to,SBP,NYPL(B),How dare be as faithless, so my Town none &
[c. June 1783],from,Maria (Allen) Rishton,BM(Bar),I am (Wilson's) Boyle
[24 May 1783],to,SBP,NYPL(B),a therefore I neither went down into the
2 July [1783],from,Charlotte Boyle-Walsingham,NYPL(B),Mrs Hamilton has told me you are going [?]
2 July [1783],from,Mary (Hamilton) Dickenson,BM(Bar),Indeed my Dear Miss Burney I feel quite
[5 July 1783],from,HLTP,NYPL(B),[alteration] I think I have done wonders
[c. July 1783],from,HLTP,NYPL(B),Though I wrote yesterday yet I begin again
11-12 July [1783],to,SBP,NYPL(B),July 11th We had a party given at home
13 July [1783],from,Mary (Hamilton) Dickenson,BM(Bar),May I flatter myself my Dr Miss Burney
[15 July 1783],to,SBP,NYPL(B),from Mr. Cambridge asked me
17-19 July [1783],to,SBP,NYPL(B),Sophia, too, once more restored, -- his
20 July [1783],from,HLTP,NYPL(B),Why what an Owl your foolish Friend
[July? 1783],to,SBP,NYPL(B),Afterwards, when we were speaking of illness
[July 1783],to,SBP,NYPL(B),That what shall we do, said Miss Baker
[July 1783],to,SBP,NYPL(B),I rose beyond the Duke of Montague,
2 Aug [1783],from,HLTP,NYPL(B),and who would not love, honour, and (to the
8 Aug [1783],from,HLTP,NYPL(B),I thank you most kindly my charming Creature
[11 Aug 1783],from,HLTP,NYPL(B),old enough but true here is no Paper but
14 Aug [1783],from,HLTP,NYPL(B),Is an will How did I tell my prettiest Burney
[20] Aug [1783],from,Gasparo Pacchierotti,NYPL(B),My I tell haste to call you with this name or
24 Aug [1783],from,HLTP,NYPL(B),How have you smoked my dear
30 Aug [1783],from,HLTP,NYPL(B),I must see my sweetest Soul, but your Letter
3 Sept [1783],from,Maria (Allen) Rishton,NYPL(B),had your Husband and Correspondent for
12 Sept [1783],from,HLTP,NYPL(B),the Dr. Burney! why he is almost fatal
[24 Sept 1783],from,HLTP,NYPL(B),'twas Burney! my tender sympathising
[24 Sept 1783],to,SBP,NYPL(B),My dear darlings! --
[26 Sept 1783],to,SBP,NYPL(B),a use forced to change this way, but do we
3 Oct [1783],to,SBP,NYPL(B),my Susy how I miss you alreadys
[pre 8 Oct 1783],from,HLTP,NYPL(B),if I might I can tell you my Came last
[11 Oct 1783],from,HLTP,NYPL(B),All you say in your last Letter my dearest
25 Oct [1783],from,HLTP,NYPL(B),What would you have my sweetest Soul suffer
28 Oct [1783],to,SBP,NYPL(B),I sent one Letter to you, from [?]
