event_id,name,category,month_start,month_end,day_of_week,time_bands,year_start,year_end,recurrence,smell_load,noise_load,crowd_load,visual_load,calendar_break,month_start_ns,notes,sources
EVT001,Smithfield Weekly Market,weekly_market,,,Mon|Fri,night|dawn|morning,1660,1820,weekly,1.0,0.9,0.9,0.5,,,Drovers arrive Sunday night before Monday market. Defoe (1724-26): without question the greatest market in the world. Average 74000 cattle and 570000 sheep per year 1740-1750. Animal waste deposited in surrounding streets.,Defoe Tour 1724-26; White London in the Eighteenth Century 2012; Museum of London Sensory Smithfield Report 2017
EVT002,Billingsgate Fish Market,weekly_market,,,Mon|Tue|Wed|Thu|Fri|Sat,dawn|morning,1660,1820,weekly,1.0,0.8,0.7,0.3,,,1698 Act of Parliament made it a free open market for all fish. Opens c.05:00. Language of Billingsgate a byword for abuse from at least 17th century.,1698 Act of Parliament; White 2012; City of London official history
EVT003,Leadenhall Market,weekly_market,,,Mon|Tue|Wed|Thu|Fri,dawn|morning|midday,1660,1820,weekly,0.7,0.6,0.6,0.4,,,Poultry and general produce.,Old and New London British History Online; Porter London A Social History 1994
EVT004,Covent Garden Market,weekly_market,,,Tue|Thu|Sat,night|dawn|morning,1670,1820,weekly,0.5,0.7,0.8,0.5,,,Charter 1670 for Tue/Thu/Sat. Busiest c.06:00; costermongers surround market. No later than 09:00. Malcolm Thick documents the Neat House Gardens hinterland supplying this market.,Old and New London British History Online; Thick Neat House Gardens 1998
EVT010,Bartholomew Fair,annual_fair,8,8,,morning|midday|afternoon|evening,1660,1820,annual,0.9,1.0,1.0,0.9,1752,9,Pre-1752: Aug 24 OS. Post-1752: Sep 3 NS (calendar reform exemption). Originally 3 days; by 18th c. ~14 days in practice though officially 4. Cloth/livestock fair became sideshows/entertainment. Suppressed 1855.,Old and New London British History Online vol.2; History Today; Wikipedia
EVT011,Southwark Fair,annual_fair,9,9,,morning|midday|afternoon|evening,1660,1762,annual,0.8,0.9,0.9,0.9,,,Charter 1462 for Sep 7-9 but expanded to ~2 weeks. City repeatedly tried to restrict. Suppressed Jun 22 1762; last fair 1763 forcibly cleared. Hogarth painted it 1733.,Georgian Cities Sorbonne; Past Tense London History; Hogarth Southwark Fair 1733
EVT012,May Fair,annual_fair,5,5,,morning|midday|afternoon|evening,1660,1708,annual,0.7,0.9,0.9,0.8,,,First two weeks of May. Suppressed c.1708 when site became residential Mayfair.,Porter; White
EVT013,Greenwich Fair,annual_fair,,,,morning|midday|afternoon|evening,1660,1857,annual,0.3,0.8,1.0,0.7,,,Easter Good Friday to Easter Monday and Whitsun. Tumbling down Observatory Hill central attraction. Pickpocketing gambling drunkenness. Suppressed 1857 as never had royal charter.,Friends of Greenwich Park; The Genealogist
EVT020,Thames Frost Fair,frost_fair,1,2,,morning|midday|afternoon|evening,1660,1820,irregular,0.4,0.9,1.0,0.9,,,Occurs only in severe winters. See event_instances for specific dates. Booths printing presses horse racing on ice. Last fair 1814; Thames embankment ended conditions for future fairs.,Andrews Famous Frosts and Frost Fairs 1887 Project Gutenberg
EVT030,Tyburn Hanging Day,execution,,,Mon,morning,1660,1783,irregular,0.4,1.0,1.0,0.9,,,Approx 8 times per year almost always Monday. 10000-50000 crowd for celebrity executions. Procession from Newgate took up to 3 hours. Bell of St Sepulchre's rang only on hanging days. Last execution Nov 3 1783.,Linebaugh London Hanged 1992; Gatrell Hanging Tree 1994; Capital Punishment UK; Old Bailey Online Journey from Newgate to Tyburn
EVT031,Newgate Gallows Execution,execution,,,Mon,morning,1783,1820,irregular,0.3,0.9,0.9,0.8,,,Post-1783 executions outside Newgate Prison. More frequent than Tyburn; smaller crowds but concentrated.,Gatrell Hanging Tree 1994; Linebaugh 1992
